Device,Phase Reward,Recyclable Score,CO2 Emission Saved,Other Savings,CPU,Memory,Battery,Display,Keyboard,Plastics,Metals,Copper,Aluminum,Gold,Silver,Lead,Tin,Nickel,Zinc
Laptop,28.42533262130867,0,8.538831397875033,7.167706426902093,48,14,20,10,32,38,8,1.6300128979416195,4.157563615176842,0.8330076119855702,0.5187066521322754,0.5476769643066125,0.36263093313417993,0.46700618126526094,0.7835114388124194
Mobile,95.32600213655591,0,4.4541740843788356,5.686667092354403,16,6,30,50,31,50,22,0.4188998430258234,0.2970867564573676,0.7200704201786811,0.7989636587256658,0.5721140238036414,0.13869214601537705,0.3241985299779808,0.8819653883597893
Refrigerator,94.57459442617525,0,2.029130005664699,0.4534009991420235,43,16,27,23,50,26,4,3.4083167338600266,4.398254275012858,0.24666569014600348,0.9445745032926407,0.34860245049609273,0.5131939535888903,0.5588719898517273,0.8002054783858084
Refrigerator,59.62870149026473,0,5.566568602032531,9.993004907415052,22,33,50,48,44,21,12,4.367449843709096,3.274808092544035,0.24509588986394482,0.40921410064020314,0.7569324185356539,0.066448418762458,0.16376381166886644,0.9826487656392371
Refrigerator,40.83315677922413,1,3.371206221839876,0.6786127185886981,50,41,24,47,28,39,12,0.19831825537300618,1.602603526366793,0.016387079816390315,0.34581831501183,0.820353051317567,0.9816067063881515,0.30520602786917894,0.5048165358317119
Laptop,21.218810083363362,0,9.673801979311499,7.74846433150051,48,2,34,14,25,36,22,4.532736563674714,3.6201447302887897,0.6713365345200898,0.8304762901089306,0.7980594744241005,0.01284274003961583,0.9097334513667829,0.21418755067717077
Accessories,92.52646442499707,0,8.55851683160531,11.056515067409489,46,1,48,14,28,40,27,3.5988290689534868,3.5257505065004446,0.18342826883972496,0.3655685163923852,0.4989707702460867,0.9775006770286361,0.6513030532239943,0.11008508599249367
Laptop,66.92906726130698,1,2.512855524325126,12.848701176125713,20,14,13,12,5,24,25,0.6860313158888426,4.904255273031318,0.5643803189525579,0.6397711781506206,0.27769141868796243,0.8649360991963871,0.6299831293504493,0.9567383102424211
Accessories,33.05701394180241,1,0.8698121952011084,8.475869034112716,41,15,38,35,25,33,14,3.223063773889469,1.3380338501885425,0.6766485184370822,0.12664054790036083,0.3757540986606783,0.9603150685276262,0.2390507345808266,0.7493810142400396
Television,47.28456887579172,0,2.3089658788101417,11.545929946256312,36,39,41,47,34,35,11,0.7234300350082312,2.1085470012753422,0.48958682387243013,0.6701293496826186,0.0019526305445805026,0.3594482767286492,0.559692722971197,0.17684693885731317
Refrigerator,46.88807478730794,1,5.635320287237971,0.37257623095494574,13,28,14,23,13,18,32,2.1281482162159397,0.33767465425204757,0.8408359032648546,0.4722838519749487,0.4620351421192095,0.4472174440370902,0.3850483409625072,0.8252572130298093
Other,78.4982035023387,0,1.7119900131687216,11.741947507780772,33,14,26,44,24,21,3,4.6181289939042545,4.3915876932105835,0.3957123991381011,0.2244582462266037,0.6216993494023402,0.7725837293200282,0.7901217731972047,0.09524679758107046
Laptop,82.15213284515272,1,9.13188110934744,12.467261396800687,27,42,49,39,45,44,1,2.5046304388537948,3.4541064237901935,0.30531984583038463,0.817436014750504,0.29429638721043827,0.7429317278476201,0.8682405360105687,0.6091288726545073
Refrigerator,83.19168517938526,1,0.19444171916495168,1.0708653158756172,34,41,2,49,19,17,43,4.5722437038997965,3.7246136128388976,0.0998425288486735,0.5148213204633384,0.3946532993444214,0.6743368700975669,0.26854167614338886,0.04429896032620151
Other,91.48775826628439,0,6.570747393574537,9.460311358154529,19,24,7,47,5,20,16,0.3811793131731339,0.9465304843058397,0.6346563840280371,0.6029753338198246,0.8279254911561814,0.6452876030116463,0.970828418154626,0.15172091547383093
Other,48.200554951837596,1,3.883754570677814,5.269478501779124,45,48,11,10,20,5,18,1.4102769161939477,2.4325226854520072,0.0629575362053505,0.4090767386039592,0.4348919356363735,0.6425813941099277,0.5389121209276603,0.9340597630173817
Laptop,83.84314258432761,1,5.902501061799752,10.79154715681722,7,12,31,26,3,5,17,0.5013709634761249,2.746402464320031,0.2552913713890308,0.4048419480088936,0.46389953380457527,0.6534968292239363,0.2126686426190315,0.744154969045992
Laptop,64.15067232479716,1,5.527658351200735,12.53982525828581,30,13,50,39,48,2,48,2.918775243823448,2.991198525393231,0.6963267317530258,0.45348839393182716,0.10625117946467821,0.7924160344779452,0.9065429421293043,0.3492533346561516
Mobile,49.46387224351423,1,0.20191975580041377,13.273530483512225,27,5,48,1,49,44,49,1.696844885077946,0.5492040662889486,0.28017712369727577,0.003028063002955439,0.02260712656454389,0.9317194241987501,0.9515744778644281,0.4394977434062939
Laptop,69.50701050657511,0,3.6633423104742056,4.482454082018705,45,16,14,41,49,34,0,1.7429958357229491,2.939535354686204,0.9644048614658389,0.11996987533996517,0.1943690750928151,0.48524263471140205,0.700479587901176,0.5859966611566458
Mobile,43.8764608408486,0,9.87837076429065,1.785898107946302,41,20,5,41,35,37,50,1.8757789544261627,2.89016916341452,0.4114576008405002,0.12677562670814835,0.5370250774513511,0.7420341343586454,0.34420401464541606,0.08857363391726036
Refrigerator,58.0733005232195,0,2.481853739159108,7.658668021162995,42,24,3,36,6,27,9,1.7939044529097585,2.5948886222356045,0.6267460167346517,0.5274324446689306,0.5716251076716503,0.31202183501364356,0.14172541012820272,0.10465981322222506
Accessories,90.48795494309874,1,4.463993465487347,4.134053914597761,31,41,45,28,24,2,16,0.08806453230123357,1.6584876905224029,0.5997106578285658,0.7140074749083397,0.011139229113047433,0.8010206364214959,0.4492913367867074,0.8875804328824463
Mobile,48.844642849214125,1,3.9706247886431223,10.941449558897665,30,33,0,14,0,1,19,0.06434852595457119,3.441855580747034,0.2561202151713603,0.11014262850456169,0.5724960812684867,0.5106507676475466,0.12515814982480356,0.032500838516030695
Accessories,54.78921771211248,1,0.8301235214516478,6.167792635288977,19,16,46,22,22,50,16,3.847766108531391,1.678271553264969,0.5903825037774878,0.19482143855803857,0.3841318364870816,0.41479813582671765,0.27297737397962607,0.5737150319608583
Other,76.30150826092003,0,2.9526942881806697,6.803221862459322,42,13,44,37,22,48,37,3.8568658903489306,2.536113646471494,0.8891137162087723,0.3030833225055102,0.8578317852634116,0.3672587830766131,0.16220677366125325,0.763966984373779
Laptop,40.382475465432286,1,9.847414711216237,9.098263723982846,21,37,3,40,33,48,21,4.33192582769232,2.903577887197733,0.21733645473765362,0.4822327260628321,0.6427966796492482,0.39202208618762346,0.6709405320334955,0.21210676825939134
Laptop,25.20724562879538,0,5.768142006120113,2.9394789362338014,12,34,44,11,13,32,42,3.143718539611658,4.709928191293137,0.8366644655694516,0.23863681193740904,0.9352136776991216,0.7897826813101372,0.5073692914019835,0.21018931055271317
Accessories,26.36940772444308,1,2.0247301761792267,5.794704555431919,10,7,10,36,23,14,45,1.2881027746120322,3.7078426592842186,0.934548456303192,0.24929248262198034,0.3264275709629154,0.42138326247399915,0.33164485273354405,0.4097053795021509
Other,25.874001577851892,1,2.2560196412535016,8.261665927103795,44,33,11,43,29,42,50,1.2003954569959792,2.843200572196651,0.41352586278450176,0.42233048136005735,0.4622858733690405,0.8195277392389231,0.9537708423279961,0.13691512583357035
Other,26.718837369460992,0,3.1448445630882893,12.995268679165363,10,27,1,44,9,15,34,2.9021992965846537,3.063307840814441,0.7323147040729484,0.5306583721176221,0.7871091813300579,0.8277334337443681,0.4123784855510445,0.16169454509587056
Refrigerator,54.08651569268819,1,7.993021162187823,13.858242636150155,48,20,31,35,7,33,3,4.469983971548509,4.1671361880036715,0.7081098777342903,0.571776955995708,0.4600940748461364,0.7418236368237414,0.4232339721469901,0.8494341309719539
Mobile,90.26382632473458,1,7.522995047169273,3.9383966798148236,49,25,11,20,38,25,43,3.9702403763679617,1.2310635061900321,0.40933226781644794,0.5957300032098426,0.6541338136752198,0.3284062743651588,0.5558909984665867,0.7137953486664583
Accessories,79.1676443186125,0,9.60002140955004,13.895576895225089,47,18,15,35,30,46,45,1.416062406444577,0.20449793313754905,0.08704186181672768,0.4517819177128266,0.05808917378410827,0.27765066284518647,0.061052227689559424,0.7407157547135211
Mobile,71.67949913251913,0,4.428851197994997,4.155438929404275,50,28,25,50,13,21,48,1.0254703978246278,4.004355740573286,0.8738194991692371,0.7343199199455281,0.4387932135114563,0.9207861874731129,0.8843300677179691,0.21922340688375408
Accessories,92.73221992575897,0,3.3554661800142735,0.7179049758013561,46,25,13,8,14,26,20,0.11924223082964258,2.1662504318997606,0.884365899026485,0.2089398804982342,0.3491626089059403,0.5085142157278337,0.16250773674334973,0.6048400244697583
Other,60.31056733873886,1,5.746656333683711,8.53566070785266,4,49,9,11,44,32,36,2.624498491561394,4.3071246906578535,0.9672480506300731,0.7757202107705626,0.39330149754486277,0.060541276432655056,0.18990586477811378,0.8419761456863964
Television,41.20136792117452,1,1.3576481881461433,5.32969681045251,17,26,32,29,3,19,35,1.9778937125752734,2.1470877905634023,0.9691739362077688,0.07852525184177372,0.41071181989248295,0.4212540555668457,0.48499596574364745,0.47039737266745574
Laptop,92.55875321637133,1,9.22336422597523,1.9415188805370664,19,47,12,46,29,48,22,3.8490885757106197,3.95562441744107,0.7198379200530396,0.32579424249459144,0.12171590958242406,0.8031047454526329,0.5406463374813874,0.6430933744780158
Refrigerator,62.953948319743546,1,3.8927686461464104,7.1454802869417495,29,24,23,19,11,6,47,0.08925050825320802,3.1663376310793945,0.15053393654099223,0.11671347339723681,0.5504011912541616,0.4413834481477278,0.8492068730162001,0.17379504635890408
Refrigerator,93.44278232570198,0,6.724075758979165,12.097175539619103,5,16,1,45,41,35,39,0.35274371551439365,3.192758094573536,0.9463932161950325,0.9249185943268892,0.5465094756517208,0.06338947023728314,0.6676383724063754,0.01878608971056206
Television,38.63631534285764,1,2.9663567553889436,8.832101328643668,28,9,41,33,43,31,15,2.1025009002912594,2.589871337112738,0.9165985318543978,0.08908431065798161,0.2622450861344082,0.32538891824652616,0.007510749032153874,0.4676806598943102
Mobile,55.53725886777798,0,4.641700452908735,1.1348088868721233,11,40,36,49,47,31,5,0.8596120062897872,4.7743833752976945,0.6436864119511982,0.9612788818338293,0.00971996342836412,0.5651962218194736,0.2380366463785334,0.4779136807246651
Laptop,97.71189711617886,0,1.0855365402738626,13.297023272792941,41,6,39,16,26,2,49,1.3416398214831093,3.0641816388442624,0.22105044952934405,0.7385805163294678,0.9385468375798462,0.4417981240336103,0.40732723741538934,0.5309111054374499
Accessories,47.844095440836995,0,4.637828444491694,3.720755588400577,29,15,15,10,19,35,2,2.403717197706227,2.3851070175215208,0.41500902318974586,0.4686661257934681,0.15958083977338078,0.35330142016982524,0.4660071415707846,0.5889589297620661
Other,30.618336282511773,0,3.923619313872746,7.207122694543463,24,39,8,18,18,20,8,2.518579588293821,0.43965613989548014,0.1248347641931149,0.70267021566807,0.001958856973180656,0.34161519230689685,0.07078777639124167,0.087559086118571
Laptop,70.06387766157746,0,2.9195310374017316,1.6072207520043058,31,14,34,21,42,4,11,1.1671887930598712,3.488963656258886,0.7287644540963831,0.36623343504542605,0.5065237956049875,0.19837985232114297,0.7316761689766884,0.518039436027808
Refrigerator,59.43459218482736,1,7.0073029442767805,4.433263083289673,33,50,3,47,10,13,26,0.05410792713964829,2.0781346693123326,0.6018282789510089,0.809392393798249,0.8549160818645422,0.33492260886842795,0.7302059505963558,0.10527953695387338
Television,82.3989685445637,0,7.132868057855384,5.26629426230406,0,18,28,24,6,6,16,2.4048585044953996,2.303686523235582,0.9322725312224324,0.4478789800767726,0.9380048288676154,0.4732801164851711,0.2658929842693676,0.2966010197632418
Refrigerator,37.091303831700856,1,7.9333504718215035,7.366549892906421,4,36,40,45,7,14,17,0.8868051133674987,1.6549645498411087,0.4452978161985124,0.5651620547652999,0.297152526385696,0.29643475325382007,0.4218769740248558,0.9138128444644283
Refrigerator,35.26568925553276,0,6.926345790768174,14.737370332732027,19,16,7,47,43,18,40,0.4732004848515703,0.43898825135096464,0.354572433278882,0.05852745338407661,0.21496967489913366,0.37928737635534093,0.923055019371947,0.06191616134943634
Accessories,45.75524530529239,1,5.114292261305239,10.79664869622065,3,12,27,49,39,29,18,4.505285679979339,0.09845719378934692,0.791013709936582,0.15284668783729694,0.39999881342694477,0.8920671356669331,0.9930803200929018,0.20251627177250642
Accessories,43.468494882710914,1,6.421981254941716,0.8159435970287265,11,15,21,19,27,32,32,3.8510089488678796,4.880263705377833,0.39460930832818464,0.8579191101940735,0.6280871426903084,0.3508858930649942,0.6850256439890372,0.7033048280660212
Mobile,79.51659426790198,1,4.486875381755509,4.930907944784327,48,22,36,6,30,16,13,2.522932088853132,0.07686963452862572,0.6196195822246078,0.36188320466936696,0.41772772590454266,0.6810699316590166,0.16097777414643188,0.6338080167296174
Other,86.87882444010619,0,6.452040740727022,13.933737363698224,8,21,22,12,19,37,1,2.1451889301443146,4.958856905218933,0.40843876132145707,0.5615550495453272,0.6145725099771837,0.22005357818541083,0.12366083744362744,0.5703721793562471
Accessories,90.23587342771096,0,2.2416054920775617,8.793420874213082,6,18,8,45,45,34,2,1.4403144266191181,3.149441379030786,0.8013423634267345,0.45519411767032003,0.9585250546328198,0.8273571549702329,0.5056102282170415,0.9420260181524064
Television,31.542673863719397,0,4.917964751183738,1.0046706801383054,12,47,35,19,26,15,33,2.8535668576348105,3.2298488418064384,0.4664857302321349,0.1934999867366386,0.9142455025182922,0.4412945073313931,0.9889661392221701,0.3478532370556038
Laptop,58.01427803030195,0,7.337373422196944,4.29757594498404,10,20,10,31,16,41,25,0.7685624486949649,0.19945618813728694,0.793915979040028,0.037755168815636675,0.08773813309544387,0.25792813243217416,0.4197456680932544,0.35977916253110875
Mobile,40.13662768975766,1,7.3408693167081704,5.305314608738566,48,39,47,21,29,30,3,1.9475959126460625,4.670404023585052,0.6825935904426673,0.13791129432915195,0.4687693459690322,0.8369279304882411,0.8366339896558789,0.7688119630394549
Accessories,61.82876558203999,0,5.545611353417188,1.7063569968289523,32,6,11,5,19,44,3,1.9697940835190781,0.1523315757526894,0.6621166973446011,0.061131012876123214,0.8320826156789435,0.1471801970488017,0.3606936435867789,0.19870469962511705
Accessories,97.05953083249224,1,2.0570016963756013,12.199742413682912,21,2,49,28,7,1,1,4.857436506326885,3.8945967349821,0.3450379622045646,0.3423955163280352,0.8164182066601501,0.7523620663840797,0.3456449283112175,0.08466269471076449
Refrigerator,73.43239147269404,0,4.0876606417563,6.328271917447937,23,16,14,22,7,14,14,3.1289265406568645,2.7622644269464347,0.16050309158636356,0.4023979284123369,0.5006848789930922,0.41259825191487787,0.5174953241351903,0.6552701249703614
Other,85.48083838263184,1,7.875793120113055,6.958673489108126,10,50,28,46,31,5,45,3.606538816783103,3.5538517496942794,0.6936470544210734,0.017804698373413697,0.7467412633462461,0.6611440816639761,0.14371008635610005,0.31324455768565707
Accessories,42.8732585500784,1,9.095008583556085,1.1424198478133878,18,13,20,0,2,21,45,2.08477100247833,0.06159196570615422,0.3353834309407241,0.6004831122046924,0.955204921665866,0.5699379030385425,0.45609538720371956,0.21533164828223872
Laptop,89.92930661281324,0,1.5298054691802543,9.824845074902145,15,5,35,38,1,10,34,1.7935863255512445,3.420131923982427,0.6543183158793303,0.4944704867685621,0.14096147218305222,0.16433578266301885,0.08550852504271866,0.39118902398803357
Mobile,57.94378160742703,1,6.90206445474828,2.719621195161685,11,21,0,25,0,39,7,2.769914097031175,1.2409729784326666,0.8468374999232899,0.7084497177590885,0.2071418303411673,0.3711222989152959,0.9720921090018911,0.8666309033116124
Refrigerator,77.64420505670257,0,7.5064745111927555,11.3385990240676,26,38,5,21,21,35,1,2.007311477476531,4.606722369590434,0.9187186936503481,0.23863046935436172,0.9880134688544645,0.9897714973697717,0.38323290063766324,0.9880335795830086
Mobile,55.08881113399282,0,9.463037977333592,9.092728657799979,20,38,44,5,3,28,44,1.813494964912693,0.13271527168849717,0.6498156337061822,0.04270798966039391,0.1682572056658389,0.5719505275799915,0.9199293483763278,0.8407451526386717
Laptop,51.000562594544334,1,9.506910974294247,7.5268286585177115,10,13,4,34,25,21,36,2.761248143482497,1.654474434609603,0.33658681649576483,0.4770248765804427,0.8414853521907799,0.11448411968289551,0.4300154262730834,0.6415477844908148
Accessories,26.34573149159051,0,5.421605348659353,10.750962024069485,30,28,43,40,16,1,17,0.9323291007220919,0.6866907308447162,0.5398530268262043,0.9325673552803025,0.6638188861788292,0.5181465171307343,0.3854807958070431,0.873294300169067
Television,26.16445692133925,1,4.466931183426153,7.974498586456259,42,8,1,20,1,46,44,4.759989955220718,4.19783843485319,0.6311002231823956,0.9520325087488632,0.03670081411036252,0.7745235292371077,0.3550292061507394,0.42416703181076554
Other,81.7279468078843,0,9.044827308085647,8.158161314729702,14,20,12,15,19,34,36,0.25337123193477806,0.24251213018788575,0.9562857791519657,0.0018305819122271805,0.5528794695363203,0.568990588470109,0.06965475099407348,0.757082791812818
Refrigerator,80.08264924965707,1,2.814196747861868,13.455898972293337,28,42,29,18,22,24,0,3.85111831454626,1.4305739970086562,0.1034998860906663,0.9410638391236297,0.16750565761844594,0.17423973079561994,0.564289320519079,0.9117317168469065
Television,35.3288823791879,1,5.611976227673308,1.5892689373784752,15,30,32,40,1,28,0,4.7479082583260555,2.5627299118360733,0.9812840637955084,0.7832209983640132,0.06601453322456852,0.04322768703973878,0.4215211294184418,0.7353421323218394
Accessories,60.50108807100534,0,2.441242729079429,2.1298598305536585,45,22,45,5,11,42,5,3.1105336763952547,2.7768648834854988,0.43190240440227023,0.7774966301626064,0.36319965171322655,0.9379865060481988,0.5319486712357794,0.07980731929624274
Other,98.60824055234366,1,3.8850002955123086,9.790613391778681,21,22,4,25,6,2,31,4.949667269182839,1.579715682156484,0.5409837135498848,0.15642613062729271,0.14640174978884946,0.9292466163119604,0.6608744080855091,0.6994867750845876
Mobile,98.12903703500953,1,0.6950161882430417,4.253504684459658,49,13,49,11,29,48,4,4.591264132008892,0.4210814332406132,0.7908475625355235,0.623481493349249,0.22197381055245968,0.36123342069930453,0.12343345403258565,0.9132463411024774
Refrigerator,91.2925265740988,0,9.55865516264667,13.974544398994158,40,43,34,36,41,4,18,3.325406089395151,2.7896344963424484,0.8983519212236785,0.35381486670296625,0.13741343345769996,0.8673819892371087,0.6021363961819053,0.367449823232632
Accessories,65.0562075782736,1,0.7100177119904494,10.922485068568177,8,13,9,15,42,43,23,4.449914491861082,0.6880405832847908,0.2717060512738352,0.3263106715429456,0.5878571638019433,0.877594836757375,0.03424713684512293,0.2920946744114883
Accessories,22.215437122347772,0,3.7325345657007047,11.095947136111283,25,36,23,18,22,2,17,2.847126656212837,3.7165889753821046,0.08881341145554766,0.03458778521532513,0.03109979300229304,0.915341200355462,0.5840485535013449,0.4091876597262941
Accessories,39.55215410835743,0,8.509556935889863,7.434739107048508,50,42,3,23,49,11,46,3.5124893427454342,4.474871201101561,0.47190621465013505,0.49984294355039915,0.8882517536346493,0.31608581589894114,0.49637153154215186,0.7909783385203748
Accessories,24.466841526652097,0,7.325552549541234,3.16972899148684,3,44,42,9,37,23,30,1.5124172348743137,3.1244640122007676,0.18118664976987042,0.8259625681853895,0.8027990047152593,0.5897562173564441,0.5838254453979023,0.27676314611621444
Accessories,36.414044198268066,0,9.886323035726193,8.30818471495219,19,29,42,31,26,38,1,0.14527839555312227,4.621881402329392,0.49693137081866323,0.21040931594424273,0.4773392546266848,0.4015955341406241,0.09188913281420985,0.48636137931954815
Refrigerator,48.60991791703423,0,5.103363129466201,7.586490749844497,39,28,24,4,28,7,28,1.245447153178294,4.967838032527022,0.5460234048524116,0.18886578684884447,0.9263931387451733,0.8307372772422881,0.14352323102102416,0.2737463033539719
Accessories,95.96957922663456,1,8.597768439900754,0.817839761075021,49,24,21,18,31,42,32,0.651698644899753,1.201100711410366,0.03490283894390578,0.13707779196399472,0.45105593298870905,0.45297272568313784,0.8844013161479971,0.4908615123749325
Laptop,85.69303364775135,1,3.2597974065043314,2.908994212675638,16,17,19,35,30,18,22,1.96008085422168,1.3059332218684527,0.1799024087204828,0.39156254681439595,0.22012847076770425,0.6255223220443101,0.549897153988747,0.6951962220246177
Laptop,62.48150265408218,0,4.590666807642295,9.307785603984309,14,34,27,8,3,33,33,3.4812131522096363,3.6756801120783766,0.11848818124330007,0.4507503846099514,0.60798779058204,0.08180624682865245,0.7448726471086958,0.34656156303214825
Television,23.274580732747793,0,3.3431870132539885,11.250109596879364,23,47,7,30,39,0,45,4.494577228659898,4.126658159116058,0.21086843727113957,0.084751667762344,0.8758597829555317,0.5006212973924687,0.8693135018887004,0.46978135639670004
Accessories,26.28369428387538,1,5.088274233049549,6.726920045039453,32,22,22,4,10,25,32,3.199190131504772,2.4019415520565355,0.5705392626744181,0.9250989530900908,0.929148943083542,0.3473469951356556,0.3135143668368794,0.8245622358295664
Refrigerator,41.30401434606023,1,5.3879676570995,7.136874941356764,35,20,0,49,37,46,34,0.941473014217668,3.834139612252823,0.9296446864444711,0.7467164423194516,0.8307427550738052,0.665829490637932,0.7769425922027804,0.45798103358536457
Other,34.673577170307155,0,0.12778062427633685,6.426096485879483,47,22,38,43,0,18,30,3.9368260115353153,4.462445411646359,0.5900443103141169,0.20544308559272295,0.6774754875330521,0.3570855694094527,0.07286225882193109,0.8805892474406241
Accessories,32.070751752280444,0,9.35984907737112,11.010677155676152,2,22,10,32,2,35,14,0.536051971487756,1.621587439825013,0.7465208705522529,0.27038232992900413,0.5705239711883782,0.7014622550862827,0.09323644782238893,0.6121671283487946
Laptop,71.37948021555266,1,1.749454201321049,8.179711758663142,10,43,19,39,11,3,35,3.3684034825589695,4.836151775488839,0.9545510362245762,0.8001263913952221,0.1544091570638404,0.5781632259874934,0.43277008496989877,0.648891131677123
Laptop,69.25955398598487,1,0.11208353765183143,12.503584762342784,50,24,45,10,14,39,12,4.952038183683874,4.854736193917539,0.18289499043925517,0.01382475495206581,0.6630382492579432,0.527245960532541,0.7470772315414955,0.6048960995417452
Refrigerator,25.198405152105803,1,3.560830529114315,7.487067640282495,19,17,40,38,24,0,5,3.5370440240468444,3.958036556990938,0.4117373226496698,0.7978880188546457,0.06538915007059176,0.6547043024601037,0.6990170393523322,0.9237031981152222
Accessories,29.649388382885196,1,0.31789535133168956,0.3494267644576976,2,41,41,7,11,33,35,2.1344749248222126,2.6109915057290642,0.5166894542329015,0.18290455076196122,0.22115891324121095,0.8168485194359116,0.2503908051762196,0.4207665805832824
Refrigerator,74.32524790356914,1,4.709836998359211,3.392399563881556,32,34,8,49,22,24,46,0.10166686785939627,4.377110665014504,0.040880065079107686,0.7937581541524127,0.30989669015224675,0.11877152905602717,0.5857342909207884,0.2448223348397227
Other,61.8651035301734,1,6.637393095659529,9.335465171406087,45,29,10,25,6,10,45,3.502955195728056,1.084598526734291,0.5960801828688733,0.31388589610734796,0.7573802882508267,0.7920655857832574,0.5724452402224387,0.7149148765029197
Other,30.452137544335613,0,6.220361976039132,9.217356939288019,32,0,40,48,47,9,40,3.1984648928123924,1.4558172948864134,0.4398086330764819,0.04303418867061137,0.2872873181784057,0.818605779528207,0.11867165176507755,0.3522594811405446
Laptop,32.600418187834855,0,3.2611951468915787,2.3501154067330927,40,36,17,48,30,44,26,1.8754588017051605,1.2339049161197884,0.21796058457287626,0.5531901570085844,0.6248422792943406,0.36384562487010597,0.7659262271717086,0.034207642724626175
